FileName,SHA,Issue
addons/web/static/src/js/framework/pyeval.js,1aeb747c6e06f11a005331713e5858438cdf8a60,11343
addons/product_extended/mrp_view.xml,083e172dd969303fc818e6a769caea82cec86527,11308
addons/product_extended/product_extended.py,083e172dd969303fc818e6a769caea82cec86527,11308
addons/stock/stock.py,f66fcf97b244ed41a77cd9353e7cba34695c41b4,10764
openerp/cli/scaffold.py,c824e50b3f2e752e324a3ec56224d8c464950287,11331
openerp/fields.py,ce217acf186970f35c964083aeef8d3b42db5685,11239
addons/stock_account/stock_account.py,f6b6eb906de780714b97b7ca15784d319300548b,11228
addons/project_issue/i18n/en.po,105c82290173b9921187f1d4485e6eb89f7325df,11158
addons/sale/sale.py,03c84f2c76b44e8a6713ab17a191375b5a4898fc,11241
addons/sale_stock/sale_stock.py,03c84f2c76b44e8a6713ab17a191375b5a4898fc,11241
addons/mrp_repair/__openerp__.py,d28cde3e302bfd6a3739d06ccd99931699eeb80e,11219
openerp/addons/base/i18n/base.pot,d28cde3e302bfd6a3739d06ccd99931699eeb80e,11219
openerp/addons/base/ir/ir_actions.py,4309bd311fedabad9828f1d428efd77828757f41,11224
openerp/addons/base/ir/ir_actions.py,4309bd311fedabad9828f1d428efd77828757f41,11216
openerp/addons/base/ir/ir_ui_view.py,4706a0c9a20bcd33e19812c03c541fa4b8778884,11207
openerp/addons/base/module/module.py,3e48ee634fe3a6eca4f19404fc3b1255f84834bf,11216
addons/auth_signup/res_users.py,40fdb841ae909304f65785b4c580331a6db59df6,9367
addons/auth_signup/res_users.py,40fdb841ae909304f65785b4c580331a6db59df6,11180
addons/account/account_invoice.py,e0555a66e14fd3824860f1dc87c3b14ea6aa9535,10375
addons/report/controllers/main.py,14282f1659149cd2d0e06f9442a37e069a2deb58,10621
addons/report/models/__init__.py,14282f1659149cd2d0e06f9442a37e069a2deb58,10621
addons/report/models/ir_qweb.py,14282f1659149cd2d0e06f9442a37e069a2deb58,10621
addons/report/models/report.py,14282f1659149cd2d0e06f9442a37e069a2deb58,10621
addons/website_report/__init__.py,14282f1659149cd2d0e06f9442a37e069a2deb58,10621
addons/website_report/ir_qweb.py,14282f1659149cd2d0e06f9442a37e069a2deb58,10621
addons/l10n_multilang/l10n_multilang.py,5be96197388140db2ec0fc51fec154b3a14285fd,11091
addons/mail/models/mail_message.py,88e712202020d3da0569991bc08e710bf962112e,6554
addons/mail/models/res_partner.py,88e712202020d3da0569991bc08e710bf962112e,6554
addons/mail/wizard/mail_compose_message.py,88e712202020d3da0569991bc08e710bf962112e,6554
addons/web/static/src/js/views/list_view_editable.js,17e79711e493298ab44c1194395db2a0a86d3b55,11198
addons/sale/sale_view.xml,20ab363a141e5c6c7f3aaec0ee69305df3003246,2
addons/sale/sale_view.xml,20ab363a141e5c6c7f3aaec0ee69305df3003246,11081
addons/point_of_sale/static/src/js/models.js,dda904c13392473c0e213078cbb6fc73374a96a0,9395
addons/point_of_sale/static/src/js/models.js,dda904c13392473c0e213078cbb6fc73374a96a0,10952
addons/base_geolocalize/__openerp__.py,63fd73d83d72e66359f167aecfbc6c22ef2bf5d9,11132
addons/account/models/account_bank_statement.py,9af45ffa0526f546d6554f1cb23dc89a1995f3ec,10951
addons/website/models/website.py,1d269d20f25d29a791bedabc39cdf865215c9887,11106
addons/base_import/tests/test_cases.py,d4e5019ec74231a92d7759b69c775e5e7577259b,11005
addons/web/controllers/main.py,d4e5019ec74231a92d7759b69c775e5e7577259b,11005
addons/account/partner.py,4162b8f5fa31cd76fa79c7e810f49b38733a16d4,11039
openerp/addons/base/res/res_country_data.xml,c43889b5b9c0cc4dae6f7f1aabfb42b5dc3f517e,10106
openerp/addons/base/res/res_partner.py,25c45a61bf07820168d88be71bb38c8d4211d4ed,11027
